id,tag
26879629,4
16452480,17
21231165,10770
9522589,0
23098259,24
21724290,9
15808527,357177
156972207,73854
127114616,0
805458842,0
1924862029,587
15822690,0
16088776,13
2145373553,0
16092211,2515
24093260,507
13495676,0
15928870,0
1723337310,0
16301067,0
21227027,2698
2092022932,10862
169425562,186
16592187,856102
10360348,6412
2092256543,3808
27420850,0
543239373,0
16316458,0
21377092,0
14605108,12
23700155,1248
21376719,804
759472963,6090
753279072,23
1282591238,417
1448249305,0
643715388,4
258559613,8
1101410220,0
1800751768,0
697203726,32119
1593036158,3
1518963639,1
131009941,24
95853168,0
14920696,5
690516575,0
1123216336,3
16624102,8669
1703486456,13
21231165,10770
21226986,1146
548396723,0
15558155,0
17522059,23
26773713,0
16533026,0
1941714626,1924
1032583104,207
885812943,188
8114439,0
27506329,3287
1677013118,44
1833419087,4066
1443818953,766
629737505,1116195
1463813907,602
975608464,0
24785359,38789
1765880543,6339
1886776646,0
18684936,723
16657282,64
491385778,91471
1618584138,28
18831381,937
20486421,0
2022254837,3
1109599077,30
250249077,3238
1123216336,3
17522059,23
662294112,26
49139555,1504
16886805,1
1007766361,0
433268818,3
531529033,2
18831381,937
1811571436,0
677214089,14
24203457,361
1136057596,0
1297673169,3
16436785,1116
752176122,0
2008655170,190893
24785359,38789
987680604,0
327245591,0
1806799622,305
1872458189,0
18684936,723
25067728,513560
1448249305,0
733369665,0
643715388,4
750200140,0
1579899965,4287
95853168,0
259586959,109
14920696,5
21562593,212
21848617,1
1076402125,0
275165905,0
764346636,0
1581523543,1278
577408459,4
1463813907,602
21540049,149
1763960785,28
21228760,0
24531283,882
250249077,3238
1745880664,37
1109599077,30
1782839093,11
1994515992,0
2090442702,2276
1600910272,0
26559458,217
1156124155,5714
27278017,0
2111946769,110
24727504,5487
767554395,408
55651725,18119
164631419,0
1412475607,555537
336774062,710
546715403,126
18170039,1
715130918,5
1405770134,931
27350027,2125
334636629,0
1711722114,1
26571496,0
1893611792,0
1758024973,1419
1193062912,19
1634671474,1054
27489422,1234
770694012,32
662294112,26
16896202,5640
1989296875,4
1344222157,642
941080589,122
422192741,227
923188773,0
810055741,51
953473759,703
584580950,0
1926579274,1987
955702057,0
1007766361,0
1745880664,37
1156124155,5714
24531283,882
27278017,0
1994515992,0
26559458,217
24727504,5487
2090442702,2276
1600910272,0
55651725,18119
767554395,408
164631419,0
1782839093,11
546715403,126
2111946769,110
937149678,746
1758024973,1419
1193062912,19
1412475607,555538
18170039,1
715130918,5
1711722114,1
1989296875,4
1893611792,0
336774062,710
1634671474,1054
953473759,703
941080589,122
1989870316,0
1405770134,931
2130757743,14974
27350027,2125
334636629,0
770694012,32
26571496,0
27489422,1234
21226780,226376
810055741,51
1862291056,37384
21376156,2105802
1481404389,16
915884175,2585
430414657,0
1344222157,642
16896202,5640
1101478119,1274
1782797789,63
15641483,76630
16338911,1
8112443,1
12983750,0
70249221,0
695373610,1066
21929730,15
27418462,5
1126041349,0
15827584,9
2097511266,7313
1691224181,8
460677602,0
1303225795,0
16743302,46207
16155575,732580
18861324,8554
21581332,0
1101478119,1274
2053145903,1
358305605,4
470345193,0
8112443,1
16338911,1
24580908,0
70249221,0
1782797789,63
971419775,0
695373610,1066
21929730,15
15567968,319
1126041349,0
2097511266,7313
27418462,5
17467675,0
1016156251,1092664
1303225795,0
12983750,0
9892852,681159
1691224181,8
16743302,46207
18861324,8554
16155575,732579
673776786,770565
13601628,4
21532081,0
769838874,387993
16830331,0
22052065,424
1415847009,2114
2053145903,1
358305605,4
881049876,0
470345193,0
24580908,0
673776786,770565
971419775,0
8112443,1
15567968,319
17467675,0
70249221,0
1684808003,1
16830331,0
1917026637,0
22052065,424
695373610,1066
2097511266,7313
1016156251,1092669
21532081,0
769838874,387993
9892852,681165
1303225795,0
1126041349,0
18861324,8554
16743302,46207
16155575,732579
1415847009,2114
18766419,27908
27419361,3
463770838,0
1739906516,17
1119836936,218
187292144,0
1865352809,24
656030934,5098
652231768,13
1441340294,0
2142879007,0
18562153,0
12715333,0
1416269457,0
20677256,0
24452562,0
25985827,0
496156355,0
1755830516,0
1186524202,0
409881829,0
1965257211,0
16630201,0
1796896324,0
10289623,0
16144862,0
14874621,0
470491297,0
1674803117,0
300959366,0
1696540825,0
1676507105,0
627399505,0
608500703,0
1684808003,0
492540086,0
870454007,0
1577980153,0
1917026637,0
730790470,0
21882923,0
16445456,0
1613526299,0
359165899,0
49488625,0
16389327,0
18766419,0
656030934,0
463770838,0
1119836936,0
502124609,0
1788685874,0
1441340294,0
1796896324,0
12715333,0
14874621,0
22016286,0
10289623,0
496156355,0
21321262,0
1577980153,0
16144862,0
627399505,0
1416269457,0
2102223250,0
16097685,0
1696540825,0
870454007,0
20486332,0
16630201,0
470491297,0
359165899,0
730790470,0
2058053885,0
608500703,0
300959366,0
1774265656,0
1186524202,0
21882923,0
16445456,0
21959871,0
2105947371,0
576979362,0
